dataset,horizon,scenario_with_lag1,model,mae_with_lag1,rmse_with_lag1,mape_with_lag1,r2_with_lag1,n_train_with_lag1,n_test_with_lag1,train_start_with_lag1,train_end_with_lag1,test_start_with_lag1,test_end_with_lag1,features_with_lag1,scenario_without_lag1,mae_without_lag1,rmse_without_lag1,mape_without_lag1,r2_without_lag1,n_train_without_lag1,n_test_without_lag1,train_start_without_lag1,train_end_without_lag1,test_start_without_lag1,test_end_without_lag1,features_without_lag1,mae_change_pct,rmse_change_pct
consumption,24,with_lag1,random_forest,57737.4378787654,85133.36385419722,3.747337376618271,0.9052046860989492,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,65034.74251000925,94214.15157140384,4.237366679194955,0.8839033831479193,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",12.638774596417711,10.666544003545697
consumption,24,with_lag1,gradient_boosting,64016.92359518781,90747.41418980672,4.1683010781727,0.8922900562994881,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,69142.55297383989,96935.44844233197,4.492717184703004,0.8770998172273352,13996,3499,2024-01-01 00:00:00+00:00,2025-08-06 04:00:00+00:00,2025-08-06 05:00:00+00:00,2025-12-30 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h24,total_weekly_direct_h24,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",8.006678688691915,6.818964824256479
consumption,168,with_lag1,ridge,89199.23720835532,119070.32308896592,5.842777525808625,0.8154495099579219,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,96627.2316625448,129238.20972642043,6.3326370216016965,0.782584748982934,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",8.32741925453786,8.539396193506054
consumption,168,with_lag1,lasso,81764.48869674631,110668.06351567988,5.326102462614891,0.840576345635429,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,89757.5693027208,120264.850778878,5.878052793777885,0.8117280710886713,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",9.775736060210406,8.671686264609125
consumption,168,with_lag1,random_forest,73280.97692008576,102830.13851954463,4.712654833386458,0.8623586320288862,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,77064.13265162832,106167.2924172899,4.941306483725342,0.8532798974074038,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",5.162534521978546,3.2453072083638013
consumption,168,with_lag1,gradient_boosting,76140.69826979328,102485.31134744732,4.93681535316246,0.8632802082283323,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,82009.71293518152,111165.82053814732,5.3053106734883295,0.8391390258041809,13880,3471,2024-01-01 00:00:00+00:00,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-12-24 23:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h168,total_weekly_direct_h168,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",7.708117733031883,8.470003239070234
injection,1,with_lag1,ridge,101279.2808117804,134578.3728947546,11.729808985951133,0.9377192781946612,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,266802.39151992335,342106.3981906956,34.130037007399,0.5975374412886755,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",163.43235198890747,154.20607400138192
injection,1,with_lag1,lasso,101310.52999730916,134381.59882393555,11.744913874836667,0.9379012728405,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,272503.2456957945,346380.0299548346,35.344386816302574,0.5874194203688554,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",168.97820562485686,157.75852719884344
injection,1,with_lag1,random_forest,103295.15014220444,137849.5612105154,11.834957773076912,0.9346547736190776,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,287418.87610284245,371099.4776601393,37.61747516639202,0.5264304424233733,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",178.25011697757196,169.20613631364333
injection,1,with_lag1,gradient_boosting,102796.89310207868,136182.8052865876,12.08074460284926,0.9362254147249508,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",without_lag1,274232.6987549295,345420.5116354101,36.018062368103664,0.5897020595064097,14032,3509,2024-01-01 00:00:00+00:00,2025-08-07 16:00:00+00:00,2025-08-07 17:00:00+00:00,2025-12-31 22:00:00+00:00,"total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168,total_injection_daily_direct_h1,total_injection_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear",166.7713882000429,153.64473209998556
