fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
23,2024-01-01 00:00:00+00:00,2025-08-15 13:00:00+00:00,2025-08-15 14:00:00+00:00,2025-08-22 13:00:00+00:00,14222,168,168,296912.0228422619,375599.61932009005,38.16571551113023,-0.08483298164744335,seasonal_naive_lag_24
24,2024-01-01 00:00:00+00:00,2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00,2025-08-29 13:00:00+00:00,14390,168,168,205960.38988690477,261912.8834464486,22.903367506428427,0.6094464054137292,seasonal_naive_lag_24
25,2024-01-01 00:00:00+00:00,2025-08-29 13:00:00+00:00,2025-08-29 14:00:00+00:00,2025-09-05 13:00:00+00:00,14558,168,168,332232.66693452385,394432.0254934889,32.93278132307094,-1.1445808730674623,seasonal_naive_lag_24
26,2024-01-01 00:00:00+00:00,2025-09-05 13:00:00+00:00,2025-09-05 14:00:00+00:00,2025-09-12 13:00:00+00:00,14726,168,168,456156.18576785707,546173.462134768,51.589123335375874,-1.3072765420245038,seasonal_naive_lag_24
27,2024-01-01 00:00:00+00:00,2025-09-12 13:00:00+00:00,2025-09-12 14:00:00+00:00,2025-09-19 13:00:00+00:00,14894,168,168,171812.99976488095,212573.70882813158,28.240283745746837,0.33112184423370417,seasonal_naive_lag_24
28,2024-01-01 00:00:00+00:00,2025-09-19 13:00:00+00:00,2025-09-19 14:00:00+00:00,2025-09-26 13:00:00+00:00,15062,168,168,394485.67628273804,493083.04756432684,46.005196228593576,-0.15685362509265555,seasonal_naive_lag_24
29,2024-01-01 00:00:00+00:00,2025-09-26 13:00:00+00:00,2025-09-26 14:00:00+00:00,2025-10-03 13:00:00+00:00,15230,168,168,498800.83607440477,691312.4121468752,53.86309764738101,-0.3118425474626747,seasonal_naive_lag_24
30,2024-01-01 00:00:00+00:00,2025-10-03 13:00:00+00:00,2025-10-03 14:00:00+00:00,2025-10-10 13:00:00+00:00,15398,168,168,370090.67780059524,466289.57100824197,58.26237866971478,-0.5284693296299416,seasonal_naive_lag_24
31,2024-01-01 00:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-17 13:00:00+00:00,15566,168,168,175742.43070535717,254413.326105364,40.13472006158538,0.11879030464758678,seasonal_naive_lag_24
32,2024-01-01 00:00:00+00:00,2025-10-17 13:00:00+00:00,2025-10-17 14:00:00+00:00,2025-10-24 13:00:00+00:00,15734,168,168,539928.9708392858,705398.1818548583,59.28332515326622,-0.49224524461848773,seasonal_naive_lag_24
33,2024-01-01 00:00:00+00:00,2025-10-24 13:00:00+00:00,2025-10-24 14:00:00+00:00,2025-10-31 13:00:00+00:00,15902,166,168,519661.6392861447,628183.7906718269,60.685578205460125,-0.6915718482286475,seasonal_naive_lag_24
34,2024-01-01 00:00:00+00:00,2025-10-31 13:00:00+00:00,2025-10-31 14:00:00+00:00,2025-11-07 13:00:00+00:00,16070,168,168,638606.7449702381,792894.7829231403,72.31167601184474,-0.6399974424531107,seasonal_naive_lag_24
35,2024-01-01 00:00:00+00:00,2025-11-07 13:00:00+00:00,2025-11-07 14:00:00+00:00,2025-11-14 13:00:00+00:00,16238,168,168,519057.08236309525,678366.4093233705,65.78072359905435,0.23840467528655518,seasonal_naive_lag_24
36,2024-01-01 00:00:00+00:00,2025-11-14 13:00:00+00:00,2025-11-14 14:00:00+00:00,2025-11-21 13:00:00+00:00,16406,168,168,444774.5799107143,533455.3286977712,53.213741141483816,-0.14656992331879892,seasonal_naive_lag_24
37,2024-01-01 00:00:00+00:00,2025-11-21 13:00:00+00:00,2025-11-21 14:00:00+00:00,2025-11-28 13:00:00+00:00,16574,168,168,603180.2899702381,722363.1639887412,74.67920820208973,-0.46886631286652314,seasonal_naive_lag_24
