fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
28,2024-01-01 00:00:00+00:00,2025-09-19 13:00:00+00:00,2025-09-19 14:00:00+00:00,2025-09-26 13:00:00+00:00,15061,168,168,56309.53770086521,73303.67801204434,6.728043693116413,0.9744324095758737,random_forest
29,2024-01-01 00:00:00+00:00,2025-09-26 13:00:00+00:00,2025-09-26 14:00:00+00:00,2025-10-03 13:00:00+00:00,15229,168,168,48720.08201991811,66196.00131197278,6.331237987591373,0.9879719142591679,lasso
30,2024-01-01 00:00:00+00:00,2025-10-03 13:00:00+00:00,2025-10-03 14:00:00+00:00,2025-10-10 13:00:00+00:00,15397,168,168,53773.99257541075,78581.32690086552,6.319381261236548,0.9565905743192566,random_forest
31,2024-01-01 00:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-17 13:00:00+00:00,15565,168,168,35945.74859554649,51898.28379195792,7.766222894258109,0.9633304527204354,random_forest
32,2024-01-01 00:00:00+00:00,2025-10-17 13:00:00+00:00,2025-10-17 14:00:00+00:00,2025-10-24 13:00:00+00:00,15733,168,168,57431.52955484589,77777.49425144658,5.6988937497475005,0.9818582396144635,lasso
33,2024-01-01 00:00:00+00:00,2025-10-24 13:00:00+00:00,2025-10-24 14:00:00+00:00,2025-10-31 13:00:00+00:00,15901,167,168,57386.72789954802,70951.97840962355,7.539225373387244,0.9782926365430069,lasso
34,2024-01-01 00:00:00+00:00,2025-10-31 13:00:00+00:00,2025-10-31 14:00:00+00:00,2025-11-07 13:00:00+00:00,16068,168,168,71436.97959735713,91729.32288578278,6.602766341361492,0.9780503082510638,lasso
35,2024-01-01 00:00:00+00:00,2025-11-07 13:00:00+00:00,2025-11-07 14:00:00+00:00,2025-11-14 13:00:00+00:00,16236,168,168,54827.87779856981,72772.37518439749,4.660266479489289,0.9912354686362279,lasso
36,2024-01-01 00:00:00+00:00,2025-11-14 13:00:00+00:00,2025-11-14 14:00:00+00:00,2025-11-21 13:00:00+00:00,16404,168,168,57009.91396731739,74096.73945432238,5.326405736827749,0.9778791085106091,lasso
37,2024-01-01 00:00:00+00:00,2025-11-21 13:00:00+00:00,2025-11-21 14:00:00+00:00,2025-11-28 13:00:00+00:00,16572,168,168,40486.35646236191,54825.09453478024,4.594694255533639,0.9915388408092994,lasso
38,2024-01-01 00:00:00+00:00,2025-11-28 13:00:00+00:00,2025-11-28 14:00:00+00:00,2025-12-05 13:00:00+00:00,16740,168,168,63216.752134166105,81390.32962304594,5.553845879267006,0.9743855026792211,random_forest
39,2024-01-01 00:00:00+00:00,2025-12-05 13:00:00+00:00,2025-12-05 14:00:00+00:00,2025-12-12 13:00:00+00:00,16908,168,168,51483.60899670063,67277.95309662702,4.83851560291147,0.9853740177533589,lasso
40,2024-01-01 00:00:00+00:00,2025-12-12 13:00:00+00:00,2025-12-12 14:00:00+00:00,2025-12-19 13:00:00+00:00,17076,168,168,78395.02833241054,104975.6027113669,7.0828102581110315,0.9621042249923628,lasso
41,2024-01-01 00:00:00+00:00,2025-12-19 13:00:00+00:00,2025-12-19 14:00:00+00:00,2025-12-26 13:00:00+00:00,17244,168,168,61145.65375107153,80758.31360887732,6.305286161984924,0.9330821449655391,ridge
