fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
28,2024-01-01 00:00:00+00:00,2025-09-19 13:00:00+00:00,2025-09-19 14:00:00+00:00,2025-09-26 13:00:00+00:00,15061,168,168,18834.38390364745,23915.031610957773,1.3070085764264388,0.9852883742548262,random_forest
29,2024-01-01 00:00:00+00:00,2025-09-26 13:00:00+00:00,2025-09-26 14:00:00+00:00,2025-10-03 13:00:00+00:00,15229,168,168,16483.752601568714,21676.6615985257,1.1156384338789325,0.9871710788469846,random_forest
30,2024-01-01 00:00:00+00:00,2025-10-03 13:00:00+00:00,2025-10-03 14:00:00+00:00,2025-10-10 13:00:00+00:00,15397,168,168,25814.376737489685,33695.51102908157,1.9474860394495623,0.9781887744573616,random_forest
31,2024-01-01 00:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-17 13:00:00+00:00,15565,145,168,25920.895373430507,32828.05610581141,1.8775360465621536,0.9794251541403743,random_forest
32,2024-01-01 00:00:00+00:00,2025-10-17 13:00:00+00:00,2025-10-17 14:00:00+00:00,2025-10-24 13:00:00+00:00,15710,168,168,27279.694610213053,37382.90220881969,1.9344038969910464,0.975517707805879,random_forest
33,2024-01-01 00:00:00+00:00,2025-10-24 13:00:00+00:00,2025-10-24 14:00:00+00:00,2025-10-31 13:00:00+00:00,15878,167,168,25754.239228328017,36681.58109371922,1.8291312480528603,0.977279313623539,random_forest
34,2024-01-01 00:00:00+00:00,2025-10-31 13:00:00+00:00,2025-10-31 14:00:00+00:00,2025-11-07 13:00:00+00:00,16045,168,168,18550.982059782626,27910.67537251197,1.2342391319519455,0.988706988625557,random_forest
35,2024-01-01 00:00:00+00:00,2025-11-07 13:00:00+00:00,2025-11-07 14:00:00+00:00,2025-11-14 13:00:00+00:00,16213,168,168,18854.399004215004,26160.642304398796,1.212319955773516,0.9917297872039506,random_forest
36,2024-01-01 00:00:00+00:00,2025-11-14 13:00:00+00:00,2025-11-14 14:00:00+00:00,2025-11-21 13:00:00+00:00,16381,168,168,19826.36965601844,26403.264183738254,1.2405156108704027,0.9907838030939039,random_forest
37,2024-01-01 00:00:00+00:00,2025-11-21 13:00:00+00:00,2025-11-21 14:00:00+00:00,2025-11-28 13:00:00+00:00,16549,168,168,18975.46424698956,26943.19670426064,1.1182717073711204,0.9916139808159282,random_forest
38,2024-01-01 00:00:00+00:00,2025-11-28 13:00:00+00:00,2025-11-28 14:00:00+00:00,2025-12-05 13:00:00+00:00,16717,168,168,22628.773356537928,29522.909818051172,1.3265915926411789,0.9918739933299601,random_forest
39,2024-01-01 00:00:00+00:00,2025-12-05 13:00:00+00:00,2025-12-05 14:00:00+00:00,2025-12-12 13:00:00+00:00,16885,168,168,24383.990443436353,34398.207957186125,1.4465744703998653,0.9878719269529276,random_forest
40,2024-01-01 00:00:00+00:00,2025-12-12 13:00:00+00:00,2025-12-12 14:00:00+00:00,2025-12-19 13:00:00+00:00,17053,168,168,23241.399751610716,35848.53467391755,1.308522373029017,0.9887916348850757,random_forest
41,2024-01-01 00:00:00+00:00,2025-12-19 13:00:00+00:00,2025-12-19 14:00:00+00:00,2025-12-26 13:00:00+00:00,17221,168,168,32607.704045911425,47242.35691022962,2.077170470807817,0.9765249800927883,random_forest
