model,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,r2_mean,r2_std,folds
lasso,56252.938661137145,11475.15307572805,75944.83805762063,18367.760853111562,6.872973279442819,2.7646267124807453,0.9535636500805686,0.029271768286111853,41
ridge,56284.47379587073,11418.772286779784,75953.02878268744,18342.23859189907,6.866653835756925,2.682551571879954,0.9536159691714882,0.029208165329754107,41
gradient_boosting,57986.52084881183,12641.279582671934,77379.31874372752,19585.790507885216,7.794042794304428,6.903465644243074,0.9524330675751672,0.02967675005900875,41
random_forest,57796.219822100764,12639.060537247904,77840.14316048718,19101.173070616947,7.450626736184135,5.565387549421422,0.9514804086313872,0.03136353047629229,41
seasonal_naive_lag_24,389346.70391435426,167299.47763553413,493504.6332359772,208970.07112538448,49.325130239952756,21.195441768513987,-0.4749218155409932,0.6008258412822955,41
