datetime,total_injection,iqr_outlier,zscore_outlier,isolation_forest_outlier,any_outlier
2025-01-26 00:00:00+00:00,1955331.189,False,False,True,True
2025-01-26 01:00:00+00:00,2081305.6475,False,False,True,True
2025-01-27 20:00:00+00:00,2627524.3065,False,False,True,True
2025-01-27 21:00:00+00:00,2562445.569,False,False,True,True
2025-01-27 22:00:00+00:00,2479437.331,False,False,True,True
2025-01-27 23:00:00+00:00,2311705.5805,False,False,True,True
2025-01-31 00:00:00+00:00,1176577.04,False,False,True,True
2025-02-01 00:00:00+00:00,768797.4455,False,False,True,True
2025-02-02 19:00:00+00:00,2141337.7649999997,False,False,True,True
2025-02-02 20:00:00+00:00,2178763.5190000003,False,False,True,True
2025-02-02 21:00:00+00:00,2176308.7835,False,False,True,True
2025-02-02 22:00:00+00:00,2047342.4475,False,False,True,True
2025-02-02 23:00:00+00:00,1908973.608,False,False,True,True
2025-03-01 23:00:00+00:00,2174795.2665,False,False,True,True
2025-03-02 00:00:00+00:00,2230012.174,False,False,True,True
2025-03-08 11:00:00+00:00,2470200.0190000003,False,False,True,True
2025-03-08 12:00:00+00:00,2522214.992,False,False,True,True
2025-03-08 13:00:00+00:00,2475921.014,False,False,True,True
2025-03-08 14:00:00+00:00,2291832.959,False,False,True,True
2025-03-08 22:00:00+00:00,1959838.137,False,False,True,True
2025-03-08 23:00:00+00:00,1836510.279,False,False,True,True
2025-03-09 00:00:00+00:00,1606844.267,False,False,True,True
2025-03-09 06:00:00+00:00,859128.985,False,False,True,True
2025-03-22 00:00:00+00:00,2262983.634,False,False,True,True
2025-03-22 01:00:00+00:00,2131104.6404999997,False,False,True,True
2025-03-22 09:00:00+00:00,2545295.1525,False,False,True,True
2025-03-22 10:00:00+00:00,2634859.9885,False,False,True,True
2025-03-22 11:00:00+00:00,2687095.9285,False,False,True,True
2025-03-22 12:00:00+00:00,2754048.479,False,False,True,True
2025-03-22 13:00:00+00:00,2779305.029,False,False,True,True
2025-03-22 14:00:00+00:00,2704338.7915000003,False,False,True,True
2025-03-22 15:00:00+00:00,2598967.489,False,False,True,True
2025-03-22 16:00:00+00:00,2522496.664,False,False,True,True
2025-03-22 17:00:00+00:00,2358048.7275,False,False,True,True
2025-03-22 18:00:00+00:00,2149369.7275,False,False,True,True
2025-03-22 19:00:00+00:00,1863917.044,False,False,True,True
2025-03-22 20:00:00+00:00,1555201.298,False,False,True,True
2025-03-22 21:00:00+00:00,1295127.213,False,False,True,True
2025-03-22 22:00:00+00:00,1100894.8855,False,False,True,True
2025-03-22 23:00:00+00:00,873962.2915,False,False,True,True
2025-03-23 00:00:00+00:00,720006.9165,False,False,True,True
2025-03-23 01:00:00+00:00,691591.4425,False,False,True,True
2025-03-23 02:00:00+00:00,654054.9995,False,False,True,True
2025-03-23 12:00:00+00:00,1445329.782,False,False,True,True
