total_injection,cogeracao,eolica,fotovoltaica,hidrica,outras_tecnologias,rede_dist,hour,dayofweek,month,total_injection_lag_1,total_injection_lag_24,total_injection_lag_168,total_injection_rollmean_24,total_injection_rollmean_168
1.0,-0.1815907235805256,0.997048815354853,-0.13285214556997585,-0.028632292012545413,-0.06946778828657355,1.0,-0.036785109138478926,0.007148084715682963,-0.10820801849388582,0.9957817099927914,0.8168286878781427,0.1111841721290842,0.9486385624309549,0.5678820101901544
-0.1815907235805256,1.0,-0.2244420371203984,0.2969646509820252,0.2553826246114649,0.21956779862424539,-0.18159072358052558,0.23182751755639383,-0.1699857635883833,0.18682266473620088,-0.1906907332049507,-0.1417813394303362,-0.07879882891902043,-0.17502642361028156,-0.14481008926426106
0.997048815354853,-0.2244420371203984,1.0,-0.19833679750548955,-0.06906106804599896,-0.1277381599233025,0.9970488153548528,-0.053127914938350375,0.010211315038374228,-0.12551755555591929,0.9929753816663716,0.8105675368374236,0.11191118812306107,0.9433965752349902,0.5628108980222033
-0.13285214556997585,0.2969646509820252,-0.19833679750548955,1.0,0.1823647906349117,0.8469897983646715,-0.1328521455699759,0.08787038137411413,-0.01469866442734458,0.09822963717607859,-0.12653355201102445,-0.057799641468875916,-0.05292917332814593,-0.08380669986255493,-0.039230144708311876
-0.028632292012545413,0.2553826246114649,-0.06906106804599896,0.1823647906349117,1.0,-0.015735524559665766,-0.028632292012545454,0.22971325978910784,-0.036452156815273806,0.405631274596799,-0.03219134603953592,0.02160627329953292,0.12411397997299445,-0.011371587582935236,0.11837237227201085
-0.06946778828657355,0.21956779862424539,-0.1277381599233025,0.8469897983646715,-0.015735524559665766,1.0,-0.06946778828657355,0.0736224900503906,0.07655791395621721,-0.018772650161848356,-0.06881836433298127,-0.03304249478181596,-0.08481554917076524,-0.04081638912954109,-0.06893140898125763
1.0,-0.18159072358052558,0.9970488153548528,-0.1328521455699759,-0.028632292012545454,-0.06946778828657355,1.0,-0.036785109138478926,0.007148084715682963,-0.10820801849388582,0.9957817099927914,0.8168286878781427,0.1111841721290842,0.9486385624309549,0.5678820101901544
-0.036785109138478926,0.23182751755639383,-0.053127914938350375,0.08787038137411413,0.22971325978910784,0.0736224900503906,-0.036785109138478926,1.0,-0.001044062713609399,-0.0008449670001160629,-0.03902294100035687,-0.013503353362567739,-0.006802842862272249,-0.04567505398998708,0.006961241016295471
0.007148084715682963,-0.1699857635883833,0.010211315038374228,-0.01469866442734458,-0.036452156815273806,0.07655791395621721,0.007148084715682963,-0.001044062713609399,1.0,0.014205913015251821,0.0052842979246949095,-0.030915411778704133,-0.028106485765147182,-0.012563206025267485,-0.039455230853092146
-0.10820801849388582,0.18682266473620088,-0.12551755555591929,0.09822963717607859,0.405631274596799,-0.018772650161848356,-0.10820801849388582,-0.0008449670001160629,0.014205913015251821,1.0,-0.10822522570298969,-0.11008329792729414,-0.12576616231964033,-0.1102667793627901,-0.14810119569715446
0.9957817099927914,-0.1906907332049507,0.9929753816663716,-0.12653355201102445,-0.03219134603953592,-0.06881836433298127,0.9957817099927914,-0.03902294100035687,0.0052842979246949095,-0.10822522570298969,1.0,0.8266206030652208,0.11118922398006356,0.9558418594903894,0.5748264464399687
0.8168286878781427,-0.1417813394303362,0.8105675368374236,-0.057799641468875916,0.02160627329953292,-0.03304249478181596,0.8168286878781427,-0.013503353362567739,-0.030915411778704133,-0.11008329792729414,0.8266206030652208,1.0,0.13551493945927207,0.9407870196916629,0.7180717191264405
0.1111841721290842,-0.07879882891902043,0.11191118812306107,-0.05292917332814593,0.12411397997299445,-0.08481554917076524,0.1111841721290842,-0.006802842862272249,-0.028106485765147182,-0.12576616231964033,0.11118922398006356,0.13551493945927207,1.0,0.12207437312934123,0.562921911205436
0.9486385624309549,-0.17502642361028156,0.9433965752349902,-0.08380669986255493,-0.011371587582935236,-0.04081638912954109,0.9486385624309549,-0.04567505398998708,-0.012563206025267485,-0.1102667793627901,0.9558418594903894,0.9407870196916629,0.12207437312934123,1.0,0.65833730986072
0.5678820101901544,-0.14481008926426106,0.5628108980222033,-0.039230144708311876,0.11837237227201085,-0.06893140898125763,0.5678820101901544,0.006961241016295471,-0.039455230853092146,-0.14810119569715446,0.5748264464399687,0.7180717191264405,0.562921911205436,0.65833730986072,1.0
