model,mae,rmse,mape,r2,mae_ci_lower,mae_ci_upper,n_train,n_test
gradient_boosting,37116.0268055123,59620.3339417968,2.583351592372989,0.9525331076818857,33103.41999383427,41875.08135408707,1708,428
random_forest,37048.03329150216,62093.31281186744,2.6291052630677827,0.9485137035822635,32476.998491214483,41920.196695010454,1708,428
ridge,60821.55074634072,80857.42954176136,4.144562827510366,0.9126944499916523,55871.58923642114,65961.72769019834,1708,428
lasso,61014.24141955179,80954.74420564166,4.159049909102446,0.912484173138163,56079.112804802106,66108.89437439694,1708,428
seasonal_naive_lag_24,124156.01703697139,173287.39132979885,8.405314464630752,0.5990078059564765,113268.77772030992,135965.48816337148,1708,428
