model,mae,rmse,mape,r2,mae_ci_lower,mae_ci_upper,n_train,n_test
lasso,71613.23809105229,113531.84958322722,6.271925348809912,0.9735779697694464,63554.616619125416,80479.30467572885,1708,428
ridge,71640.97953745582,113605.64388908021,6.27381374378106,0.9735436106172128,63623.2397228298,80584.06284767042,1708,428
random_forest,75954.57544859697,114611.9471748705,6.6807563508767025,0.9730728406312895,68067.98170734417,85000.4461349687,1708,428
gradient_boosting,76406.21818250656,116290.8331915965,6.771008548305707,0.9722781810333679,68212.41644336989,85463.76264917811,1708,428
seasonal_naive_lag_24,558875.2643002337,747917.5101371156,53.72144544227522,-0.14666923555248035,513804.4450884054,601467.7540731308,1708,428
