feature,importance
total_injection_lag_1,0.9864514875906302
total_injection_rollmean_24,0.004010712419157104
hour,0.0024544486539520415
total_injection_lag_168,0.002182224563904837
total_injection_lag_24,0.002026236445280839
total_injection_rollmean_168,0.001701787961134656
dayofweek,0.0006678440616334963
month,0.0004149288403076143
is_weekend,9.032946399923217e-05
