feature,pc1,pc2
hour,-0.019234133475220187,-0.00034393406498941766
dayofweek,-0.01366951888970136,0.7038306968607636
month,-0.14979182155041615,0.06753128631565
is_weekend,0.03445455815591937,0.7061716206020083
total_injection_lag_1,0.46659236393556525,0.004720551509871607
total_injection_lag_24,0.5082031111403114,0.012232772719385665
total_injection_lag_168,-0.11461621334903305,-0.009786915305704857
total_injection_rollmean_24,0.5882801154640078,-0.0028230065857712677
total_injection_rollmean_168,0.37500570544084105,-0.03328245901962369
