dataset,component,explained_variance_ratio,cumulative_variance
consumption,pc1,0.3951316109272177,0.3951316109272177
consumption,pc2,0.2049724592099652,0.6001040701371829
injection,pc1,0.28596703448641614,0.28596703448641614
injection,pc2,0.19936889219500809,0.4853359266814242
