feature,pc1,pc2
hour,0.3750747183013033,0.3597037919685147
dayofweek,-0.16879735683902142,0.5793775752595296
month,-0.13782992402092448,0.10060730423554598
is_weekend,-0.23124239316069495,0.5902848511468743
total_lag_1,0.49332194185322925,0.05773028326277385
total_lag_24,0.4450455924391025,0.2867426012398106
total_lag_168,0.46293464876242796,0.0996990466781359
total_rollmean_24,0.2798881402470854,-0.27230489265209284
total_rollmean_168,0.15581494769752363,-0.08205371855473455
