feature,importance
total_lag_1,0.8810970533180985
hour,0.07374159872011907
total_lag_168,0.024972542942090004
total_lag_24,0.011188792579559731
total_rollmean_24,0.0044346461929352906
total_rollmean_168,0.002105997090333292
dayofweek,0.0015840485503765933
month,0.0005447138908938207
is_weekend,0.00033060671559382156
