feature,correlation,absolute_correlation
total_lag_1,0.9393680831040178,0.9393680831040178
total_lag_168,0.8936843243651279,0.8936843243651279
total_lag_24,0.8212447347598113,0.8212447347598113
hour,0.6881574072387373,0.6881574072387373
total_rollmean_24,0.3970032097865037,0.3970032097865037
dayofweek,-0.26338283939469187,0.26338283939469187
total_rollmean_168,0.19556639453056268,0.19556639453056268
month,-0.16633691450867447,0.16633691450867447
