feature,importance
total_injection_lag_1,0.9855467431369652
total_injection_rollmean_24,0.003946863534885949
hour,0.0024929655402545956
total_injection_lag_168,0.0022876614997257762
total_injection_lag_24,0.0021865268380267797
total_injection_rollmean_168,0.0021122991604168163
dayofweek,0.000901565670973561
month,0.0004249337448055101
is_weekend,0.00010044087394577067
