feature,correlation,absolute_correlation
total_injection_lag_1,0.9893400810534263,0.9893400810534263
total_injection_rollmean_24,0.7074431450569146,0.7074431450569146
total_injection_lag_24,0.30757642487713316,0.30757642487713316
total_injection_rollmean_168,0.22441001088037268,0.22441001088037268
total_injection_lag_168,-0.21306332615269222,0.21306332615269222
month,-0.10821967709761048,0.10821967709761048
