dataset,rows,scored_rows,missing_target_rows,mean_risk_score,max_risk_score,low_count,medium_count,high_count,critical_count,missing_target_count,outlier_count,weather_flag_count
consumption,17544,17519,25,26.651526228666018,90.0,14236,2877,395,11,25,354,435
injection,17544,17542,2,18.242133166115607,100.0,15379,1793,304,66,2,462,435
